#,"URL Rating (desc)","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",Type,TextPre,"Link Anchor",TextPost,"HTTP Code","DP check","RP check"
19,34,https://www.thebalance.com/what-are-derivatives-3305833,"Financial Derivatives: Definition, Types, Risks",88,41,https://obamawhitehouse.archives.gov/node/73351,Dofollow,"The White House of President Barack Obama. ""","Wall Street Reform: The Dodd-Frank Act.",""" Accessed April 16, 2020.",404,"2020-04-20 12:49:46",2020-04-19T22:23:12Z
20,34,https://www.thebalance.com/bush-administration-economic-policies-3305556,"President George W. Bush Economic Policies",76,53,https://coast.noaa.gov/states/fast-facts/hurricane-costs.html,Dofollow,"National Oceanic and Atmospheric Administration Office for Coastal Management. ""","Hurricane Costs","."" Accessed Jan. 12, 2020.",404,"2020-04-05 13:25:37",2020-04-19T21:43:52Z
21,34,https://www.thebalance.com/web-s-best-retirement-income-calculators-2388842,"Best Online Retirement Income Calculators",46,37,http://www.vanguard.com/notfound.htm,Dofollow,,Vanguard,,404,"2020-03-26 03:18:41",2020-04-20T04:43:29Z
22,33,https://www.thebalance.com/list-of-inverse-etfs-and-etns-1214928,"Your Guide to Inverse ETFs and ETNs",52,99,http://www.vanguard.com/notfound.htm,Dofollow,"Vanguard. ""","Important Information About Leveraged, Inverse, and Commodity Exchange-Traded Products","."" Accessed April 9, 2020.",404,"2020-03-26 03:18:41",2020-04-20T17:13:58Z
23,33,https://www.thebalance.com/buying-discount-points-to-lower-your-interest-rate-1797818,"Buying Discount Points to Lower Your Interest Rate",60,16,https://www.goodmortgage.com/Calculators/Amortization.html,Nofollow,"If you look at","amortization schedules","to compare the two loans, you'll see that the lower",404,"2020-03-21 09:28:29",2020-04-20T09:00:33Z
24,32,https://www.thebalance.com/emergency-funds-2385682,"Emergency Funds",70,24,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","Emergency Fund: Why You Need One","."" Accessed March 14, 2020.",404,"2020-03-26 03:18:41",2020-04-20T16:38:07Z
25,32,https://www.thebalance.com/simpson-bowles-plan-summary-history-would-it-work-3306323,"Simpson-Bowles Plan: Summary, History, Would It Work",84,27,http://www.fiscalcommission.gov/sites/fiscalcommission.gov/files/documents/TheMomentofTruth12_1_2010.pdf,Nofollow,"On December 1, 2010, the Commission released ""","The Moment of Truth",","" its final report. But it failed even to gain","Cannot resolve host","2020-04-15 19:53:24",2020-04-17T02:31:34Z
26,32,https://www.thebalance.com/why-invest-in-gold-3305651,"Why Invest in Gold? 3 Reasons According to Research",64,20,http://brianmlucey.files.wordpress.com/2011/05/gold_safehavenorhedge_fr.pdf,Dofollow,"most asset classes end up being highly correlated. (Source: ""","Is Gold a Hedge or a Safe Haven? An Analysis of Stocks, Bonds and Gold",","" The Financial Review, 2010 pp. 217–229)","Cannot resolve host","2020-02-18 12:21:53",2020-04-21T00:38:44Z
27,32,https://www.thebalance.com/how-do-buyer-s-agents-get-paid-1798872,"How Do Home Buyer Agents Get Paid?",59,27,https://www.realtor.com/advice/buy/dual-agency/,Nofollow,"Realtor.com®. ""","What Is Dual Agency? Know When It's Right, and When to Beware","."" Accessed April 3, 2020.",404,"2020-02-12 14:30:41",2020-04-20T08:58:58Z
28,32,https://www.thebalance.com/what-are-the-benefits-to-paying-cash-for-a-home-1798721,"What Are the Benefits to Paying Cash for a Home?",63,21,https://www.hud.gov/program_offices/housing/sfh/reo/reobuyfaq,Dofollow,"U.S. Department of Housing and Urban Development (HUD), ""","About Buying HUD Homes",","" Accessed Nov. 21, 2019.",404,"2020-04-11 05:47:43",2020-04-19T21:51:38Z
29,32,https://www.thebalance.com/revocable-vs-irrevocable-trusts-3505386,"Revocable vs. Irrevocable Trusts in Estate Planning",72,33,https://privatebank.wf.com/conversations/essentials/wealth-transfer-essentials/estate-planning-wills-and-trusts/,Nofollow,"Wells Fargo. ""","What Are My Options for Wealth Transfer","."" Accessed March 30, 2020.",404,"2020-04-17 19:26:19",2020-04-20T00:52:54Z
30,32,https://www.thebalance.com/maximizing-401k-match-2894175,"Maximizing Your Employer 401(k) Match",67,22,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","Stretching the Match: Unintended Effects on Plan Contributions","."" Accessed March 15, 2020.",404,"2020-03-26 03:18:41",2020-04-19T22:29:04Z
31,32,https://www.thebalance.com/what-is-a-stock-exchange-358113,"What Is a Stock Exchange? Definition & Explanation",59,23,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","Stock Exchanges","."" Accessed Dec. 30, 2019.",404,"2020-03-26 03:18:41",2020-04-19T14:03:20Z
32,32,https://www.thebalance.com/retirement-calculator-reviews-4061796,"The Best Retirement Calculators Online",62,31,http://www.vanguard.com/notfound.htm,Nofollow,,"Vanguard Retirement Income Calculator Review",,404,"2020-03-26 03:18:41",2020-04-19T22:51:16Z
33,31,https://www.thebalance.com/canada-economy-facts-and-outlook-3306344,"Canada Economy Facts and Outlook",65,31,https://www.foxbusiness.com/politics/2017/04/24/trump-plans-to-impose-tariff-on-imports-canadian-softwood-lumber.htm,Nofollow,"24, 2017, the Trump administration announced a 20% tariff on","Canadian lumber",". That would affect $10 billion in exports. Western provinces allow",404,"2020-03-03 13:32:38",2020-04-19T21:40:52Z
34,31,https://www.thebalance.com/how-to-find-foreclosures-and-government-seized-homes-1798182,"How to Find Foreclosures and Government-Seized Homes",70,23,https://www.homepath.com/listings/map-search/list_v,Nofollow,"Federal National Mortgage Association (Fannie Mae): Find foreclosure homes through its",HomePath,website.,404,"2020-04-13 04:06:04",2020-04-19T02:59:41Z
35,31,https://www.thebalance.com/department-of-defense-what-it-does-and-its-impact-3305982,"Defense Department: What It Does and Its Impact",57,25,https://climateandsecurity.files.wordpress.com/2019/01/sec_335_ndaa-report_effects_of_a_changing_climate_to_dod.pdf,Dofollow,"In January 2019,","the DoD reported","on the 79 installations most at risk. It cited recurrent","Cannot resolve host","2020-01-31 09:04:14",2020-04-19T23:26:59Z
36,31,https://www.thebalance.com/pending-home-sales-gone-bad-1798297,"Why Pending Home Sales Go Bad",68,22,https://www.realtor.com/advice/buy/4-ways-to-deal-if-your-appraisal-comes-in-low/,Nofollow,"Realtor.com. ""","4 Ways to Deal If Your Appraisal Comes in Low",","" Accessed Nov. 8. 2019.",404,"2020-02-02 01:06:08",2020-04-19T22:43:08Z
37,31,https://www.thebalance.com/what-are-bonds-and-how-do-they-work-3306235,"What Bonds Are and How They Work",74,43,http://www.vanguard.com/notfound.htm,Nofollow,"The Vanguard Group. ""","What Is a Bond? A Way to Get Income & Stability","."" Accessed April 10, 2020.",404,"2020-03-26 03:18:41",2020-04-19T22:07:02Z
38,31,https://www.thebalance.com/hurricane-irma-facts-timeline-damage-costs-4150395,"Hurricane Irma Facts: Timeline, Damage, and Costs",50,50,https://www.swissre.com/rethinking/climate_and_natural_disaster_risk/hurricane_andrew_20_miles_saved_miami.html,Nofollow,"the average global sea level has risen 8.9 inches . That","increase doubles the cost of damage","from hurricane-related storm surges, according to Swiss Re estimates. Around",404,"2020-03-21 18:25:18",2020-04-20T01:14:05Z
39,31,https://www.thebalance.com/best-vanguard-funds-to-hold-long-term-4154689,"10 Best Vanguard Funds to Hold for the Long-Term",62,41,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","Vanguard Total Stock Market Index Fund Admiral Shares (VTSAX)","."" Accessed March 25, 2020.",404,"2020-03-26 03:18:41",2020-04-20T14:10:40Z
40,30,https://www.thebalance.com/best-personal-loan-companies-4169503,"Best Personal Loans of April 2020",53,34,https://www.earnin.com/rendering-on-the-server,Nofollow,,"Earnin: Best Loan Alternative",,404,"2020-03-27 00:29:03",2020-04-20T06:42:06Z
41,30,https://www.thebalance.com/family-loan-315551,"Family Loans: How to Borrow and Lend With Family",53,26,https://www.nationalfamilymortgage.com/lend/purchase-a-home/how-it-works/,Nofollow,"National Family Mortgage. ""","Invest in Family and Earn a Solid Return","."" Accessed Feb. 17, 2020.",404,"2020-04-15 01:33:57",2020-04-19T06:03:12Z
42,30,https://www.thebalance.com/trump-vs-obama-economic-policies-4142333,"Trump vs Obama: Economic Policies",131,70,https://obamawhitehouse.archives.gov/node/73351,Dofollow,"The White House of President Barack Obama. ""","Wall Street Reform: The Dodd-Frank Act","."" Accessed Feb. 16, 2020.",404,"2020-04-20 12:49:46",2020-04-20T06:23:07Z
42,30,https://www.thebalance.com/trump-vs-obama-economic-policies-4142333,"Trump vs Obama: Economic Policies",131,70,https://obamawhitehouse.archives.gov/node/4791,Dofollow,"The White House of President Barack Obama. ""","The Recovery Act","."" Accessed Feb. 16, 2020.",404,"2020-03-24 02:13:51",2020-04-20T06:23:07Z
43,30,https://www.thebalance.com/making-money-from-real-estate-investing-357984,"Making Money from Real Estate Investing",76,28,https://www.irs.gov/businesses/small-businesses-self-employed/passive-activity-losses-real-estate-tax-tips,Dofollow,"United States Department of the Treasury Internal Revenue Service. ""","Passive Activity Losses - Real Estate Tax Tips",","" Accessed Nov. 21, 2019.",404,"2020-04-01 00:07:46",2020-04-19T08:57:35Z
44,30,https://www.thebalance.com/index-funds-vs-actively-managed-funds-2466445,"Index Funds vs. Actively Managed Funds Explanation",63,18,http://www.vanguard.com/notfound.htm,Nofollow,"According to Vanguard, in a","study of index funds vs active funds",", for the 10-year period ended December 31, 2018, 9",404,"2020-03-26 03:18:41",2020-04-19T07:57:37Z
45,29,https://www.thebalance.com/who-is-paul-volcker-3306157,"Paul Volcker, His Shock, Rule, and a New Bretton-Woods",65,19,https://www.brettonwoods.org/page/about-the-bretton-woods-committee,Nofollow,"Volcker made these remarks at the","Bretton-Woods Committee","meeting. It's a group of global leaders that seek cooperation among international",404,"2020-04-13 06:15:40",2020-04-19T11:51:19Z
46,29,https://www.thebalance.com/multilateral-trade-agreements-pros-cons-and-examples-3305949,"Multilateral Trade Agreements: Definition, Examples",63,25,https://www.trade.gov/cafta/key_benefits/overview.asp,Dofollow,"U.S. International Trade Administration. ""","Central American - Dominican Republic Free Trade Agreement",","" Accessed Jan. 9, 2020.",404,"2020-03-20 14:53:14",2020-04-17T12:45:50Z
47,29,https://www.thebalance.com/best-no-fee-checking-accounts-4163044,"Best No-Fee Checking Accounts of 2020",57,30,https://www.schwab.com/checkingdd_pm=none?dd_pm_cat=checking,Nofollow,,"Schwab Bank High Yield Investor Checking Account: Best for Frequent ATM Users",,404,"2020-04-07 09:46:30",2020-04-20T15:29:00Z
48,29,https://www.thebalance.com/best-sandp-500-index-funds-2466399,"Best S&P 500 Index Funds",56,23,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","Index funds: See why Vanguard is still the indexing leader","."" Accessed April 10, 2020.",404,"2020-03-26 03:18:41",2020-04-20T03:40:39Z
49,29,https://www.thebalance.com/health-care-inequality-facts-types-effect-solution-4174842,"Health Care Inequality: Facts, Causes, Solutions",52,44,https://timedotcom.files.wordpress.com/2014/12/201412_cfpb_reports_consumer-credit-medical-and-non-medical-collections.pdf,Dofollow,"﻿ Medical bills have become","collection agencies’ biggest business",". In 2015, 1 million people declared medical bankruptcy.","Cannot resolve host","2020-01-24 21:53:52",2020-04-21T03:25:18Z
50,28,https://www.thebalance.com/best-online-banks-4165693,"Best Online Banks of April 2020",53,40,https://www.schwab.com/public/schwab/banking_lending/?dd_pm=none&dd_pm_cat=savings_mma,Nofollow,,"Charles Schwab Bank: Best for Frequent Travelers",,404,"2020-04-10 12:32:17",2020-04-20T14:43:39Z
51,28,https://www.thebalance.com/what-is-a-pension-plan-2385771,"What Is a Pension Plan and Should I Have One?",59,32,http://www.vanguard.com/notfound.htm,Nofollow,"and existing savings into a retirement calculator such as the","Vanguard Retirement Calculator","to determine whether you are on track for your retirement",404,"2020-03-26 03:18:41",2020-04-20T11:00:46Z
52,28,https://www.thebalance.com/should-you-buy-pet-insurance-2645555,"Is Pet Insurance a Smart Idea to Cover the Vet Bills?",58,24,https://www.healthypawspetinsurance.com/co-branded-template,Nofollow,"be eligible for discounts through another membership association. For example,","AAA offers discounts on pet insurance","with Healthy Paws Pet Insurance, and Healthy Paws also offers",404,"2020-04-18 16:43:26",2020-04-19T05:59:11Z
53,28,https://www.thebalance.com/how-to-invest-money-357632,"How to Invest Money for Beginners",79,21,https://www.lendingclub.com/404,Nofollow,"LendingClub.com. ""","Requirements to Invest","."" Accessed March 25, 2020.",404,"2020-04-05 04:25:09",2020-04-20T01:18:38Z
54,28,https://www.thebalance.com/top-free-online-financial-planning-calculators-1289797,"Top Free Online Financial Planning Calculators",67,26,https://www.bankrate.com/gookeyword/calsystem2/calculators/fixedvsarm/default.aspx,Nofollow,,"Fixed Rate v. Adjustable Rate Mortgage Calculator",,404,"2020-04-17 02:45:49",2020-04-19T21:27:28Z
55,28,https://www.thebalance.com/best-dividend-funds-for-all-stages-of-your-investing-life-4151955,"The 10 Best Dividend Funds for Any Investor",59,30,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","Vanguard International High Dividend Yield Index Fund Investor Shares (VIHIX)","."" Accessed Dec. 10, 2019.",404,"2020-03-26 03:18:41",2020-04-19T06:06:04Z
56,28,https://www.thebalance.com/what-is-a-robo-advisor-and-how-do-they-work-4097134,"What Is a Robo Advisor and How Do They Work?",73,25,http://www.vanguard.com/notfound.htm,Nofollow,,"Vanguard Personal Advisor Services","offers an online interface and access to a financial advisor",404,"2020-03-26 03:18:41",2020-04-20T12:54:31Z
57,28,https://www.thebalance.com/united-states-secretary-of-the-treasury-3306167,"Secretary of the Treasury: Function, Bios, Role",80,32,https://frontview.wordpress.com/second-great-depression/,Dofollow,,reBlog,,"Cannot resolve host","2020-02-25 06:42:31",2020-04-20T08:01:56Z
58,27,https://www.thebalance.com/how-do-individual-investors-buy-stocks-3306180,"How to Invest in the Stock Market",69,21,https://www.betterinvesting.org/public/buildwealth/faq/default.htm,Nofollow,"before investing. Again, it's a good idea to research the","better investing clubs","before you get started.",404,"2020-04-15 17:04:21",2020-04-20T15:16:34Z
59,27,https://www.thebalance.com/asset-management-companies-for-beginners-4048203,"How Asset Management Companies Work",73,30,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ”","Fast Facts About Vanguard",".” Accessed Feb. 17, 2020.",404,"2020-03-26 03:18:41",2020-04-20T04:41:22Z
60,27,https://www.thebalance.com/how-will-selling-my-stocks-affect-my-taxes-2385919,"How Will Selling My Stocks Affect My Taxes?",72,24,http://www.vanguard.com/notfound.htm,Nofollow,"It's usually not a good idea to","offset long-term gains with short-term losses","because those gains are taxed at a lower rate. You",404,"2020-03-26 03:18:41",2020-04-20T17:55:29Z
61,27,https://www.thebalance.com/why-dave-ramsey-is-wrong-on-mutual-funds-2466582,"Why Dave Ramsey Is Wrong On Mutual Funds",95,22,http://www.vanguard.com/notfound.htm,Nofollow,"A common investment choice is ​the","Vanguard S&P 500 Index Fund (VFINX","). The beginning investor would not know if this fund",404,"2020-03-26 03:18:41",2020-04-20T03:22:49Z
62,27,https://www.thebalance.com/best-peer-to-peer-lending-companies-4580285,"The 8 Best Peer-to-Peer Lending Companies of 2020",62,30,https://streetshares.com/?dd_pm=none&dd_pm_cat=personal_loan,Nofollow,,"Best for Established Small Businesses: StreetShares",,"Cannot resolve host","2020-01-29 18:40:39",2020-04-20T10:23:50Z
63,27,https://www.thebalance.com/best-roth-ira-4172142,"The 8 Best Roth IRAs of 2020",45,26,http://www.vanguard.com/notfound.htm,Nofollow,,"Best Overall: Vanguard",,404,"2020-03-26 03:18:41",2020-04-18T20:04:51Z
64,27,https://www.thebalance.com/finding-a-lost-life-insurance-policy-4066234,"How to Find a Lost Life Insurance Policy in 5 Steps",66,42,https://www.missingmoney.com/en/notfound,Nofollow,"way to check is to look on a site like","Missing Money","where searches and claims are free. You can also conduct",404,"2020-03-24 13:39:02",2020-04-20T04:52:27Z
65,27,https://www.thebalance.com/oil-reserves-definition-categories-world-s-largest-3305873,"Oil Reserves: Definition, Categories, World's Largest",74,39,"https://www.opec.org/library/Annual Statistical Bulletin/interactive/2004/FileZ/definition.htm",Dofollow,"Of the three categories, the most commonly used is","proven oil reserves",". That's where analysis of geological and engineering data demonstrates",404,"2020-04-19 10:05:20",2020-04-20T05:49:14Z
66,27,https://www.thebalance.com/gap-insurance-requirements-and-your-rights-2645574,"GAP Insurance Requirements and Your Rights",54,20,https://www.naic.org/JIR_abstracts/JIR-ZA-31-10.htm,Dofollow,"N.A.I.C. ""","Regulating the Gap in the Regulation of GAP Insurance Coverage,",""" Accessed Nov. 30, 2019",404,"2020-03-23 04:45:28",2020-04-13T18:08:43Z
67,27,https://www.thebalance.com/commodities-futures-and-how-they-work-3305647,"Commodity Futures: Definition, How They Work, Examples",58,25,https://www.cftc.gov/ConsumerProtection/FraudAwarenessPrevention/CFTCFraudAdvisories/OV_CFTC_008818,Dofollow,"addition, review the Certificate in Trade Finance Compliance's or CTFC’s","Guide to Fraudulent Activity","and its Education Center .",404,"2020-03-04 15:19:57",2020-04-20T05:32:26Z
68,27,https://www.thebalance.com/how-to-set-and-reach-savings-goals-2386115,"6 Keys to Saving for Your Goals Successfully",65,18,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","Broaden Your Portfolio With CDs & Bonds","."" Accessed March 12, 2020.",404,"2020-03-26 03:18:41",2020-04-20T07:29:56Z
69,27,https://www.thebalance.com/what-is-risk-tolerance-2466649,"What is Risk Tolerance? Definition, Measures, Investing",54,18,http://www.vanguard.com/notfound.htm,Nofollow,"For a better idea of your risk tolerance, try this","risk tolerance questionnaire","from Vanguard.",404,"2020-03-26 03:18:41",2020-04-20T07:20:17Z
70,27,https://www.thebalance.com/obamacare-pre-existing-conditions-3306072,"Obamacare Pre-Existing Conditions",53,33,https://healthlaw.org/news/nhelp-in-the-news/234-national-journal-is-obamacare-living-up-to-its-preexisting-conditions-promise,Nofollow,,"Insurance companies have found","ways around the ACA ban. For example, some companies place",404,"2020-04-10 23:38:37",2020-04-20T16:54:00Z
71,27,https://www.thebalance.com/best-ira-accounts-4174779,"8 Best IRA Accounts of 2020",50,29,http://www.vanguard.com/notfound.htm,Nofollow,,"Best Low-Cost: Vanguard",,404,"2020-03-26 03:18:41",2020-04-19T02:54:41Z
72,27,https://www.thebalance.com/american-family-auto-insurance-review-1969878,"American Family Auto Insurance Review",60,17,https://www.amfam.com/default.asp,Nofollow,"learn more about its insurance products, you can visit the","American Family Insurance website","or call 800-692-6326. You can also use the agent locator",404,"2020-03-17 21:48:10",2020-04-18T05:50:42Z
73,27,https://www.thebalance.com/wildfires-economic-impact-4160764,"Wildfires Facts, Damage, and Economic Impact",63,88,http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282,Dofollow,"At the same time, the","Woolsey fire","burned 96,949 acres, threatening Thousand Oaks and Malibu. Three people died",404,"2020-02-23 05:01:19",2020-04-18T01:02:15Z
73,27,https://www.thebalance.com/wildfires-economic-impact-4160764,"Wildfires Facts, Damage, and Economic Impact",63,88,http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277,Dofollow,"2018, more than 58,083,000 wildfires burned 8.8 million acres. The","Camp Fire in Northern California","wiped out the town of Paradise. It killed 85 people,",404,"2020-01-31 05:31:13",2020-04-18T01:02:15Z
74,27,https://www.thebalance.com/best-bank-bonuses-4178453,"The 6 Best Bank Bonuses of 2020",58,29,https://www.capitalone.com/page-not-found/,Nofollow,,"Capital One Bank: $200",,404,"2020-04-18 19:07:32",2020-04-19T09:08:17Z
75,26,https://www.thebalance.com/does-fire-early-retirement-make-sense-for-you-4160765,"Does FIRE Early Retirement Make Sense for You?",57,23,http://www.vanguard.com/notfound.htm,Nofollow,"just 0.04% in fees for the Admiral version, which is","available for those with at least $10,000 to invest",.,404,"2020-03-26 03:18:41",2020-04-19T23:24:45Z
76,26,https://www.thebalance.com/what-you-need-to-know-about-drones-and-your-insurance-3961255,"Is Your Drone Insured? Everything You Need to Know",57,40,https://uavcoach.com/about/,Nofollow,"are a member of an organization like the AMA or","UAV Coach","that encourages safe practices? Your insurance company may not ask",404,"2020-03-25 05:09:25",2020-04-20T10:08:37Z
77,26,https://www.thebalance.com/what-is-a-403-b-plan-2385769,"How Does a 403(b) Plan Work?",65,24,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","401k vs. IRA: How to Prioritize Your Savings",","" Accessed Dec. 5, 2019.",404,"2020-03-26 03:18:41",2020-04-20T07:59:46Z
78,26,https://www.thebalance.com/top-online-stock-trading-sites-3140818,"Where to Find Online Stock Trading Sites",52,39,http://www.vanguard.com/notfound.htm,Nofollow,,Vanguard,,404,"2020-03-26 03:18:41",2020-04-20T10:18:59Z
79,26,https://www.thebalance.com/how-to-switch-banks-315430,"Step by Step Checklist and Tips to Switch Banks",69,24,https://www.dfs.ny.gov/consumer/creditreport.htm,Dofollow,"New York State Department of Financial Services. ""","Understanding your Credit Report and your Credit Score",","" Accessed Nov. 18, 2019.",404,"2020-03-03 14:13:54",2020-04-18T20:09:40Z
80,26,https://www.thebalance.com/chain-laws-by-state-1361486,"Learn About the Chain Laws in Each State",46,83,https://www.dmv.de.gov/services/driver_services/driving_courses/dr_crs_speeding.shtml,Dofollow,,Delaware,,404,"2020-04-18 22:49:11",2020-04-20T17:01:18Z
80,26,https://www.thebalance.com/chain-laws-by-state-1361486,"Learn About the Chain Laws in Each State",46,83,https://www.leg.state.nv.us/NRS/NRS-484D.html,Dofollow,,Nevada,,404,"2020-04-14 12:16:40",2020-04-20T17:01:18Z
80,26,https://www.thebalance.com/chain-laws-by-state-1361486,"Learn About the Chain Laws in Each State",46,83,https://www.legislature.vermont.gov/statutes/section/23/013/01006c.,Dofollow,,Vermont,,"Cannot resolve host","2020-03-25 23:11:54",2020-04-20T17:01:18Z
